email_text,label
Let’s schedule a call for next week.,not spam
"Congratulations, you have won a free iPhone!",spam
You’ve been selected for a free cruise trip!,spam
Here are the notes from our last meeting.,not spam
Get rich quick with this one simple trick!,spam
Win a $1000 gift card now!,spam
Win a $1000 gift card now!,spam
"Congratulations, you have won a free iPhone!",spam
"Hey, are we still meeting for lunch?",not spam
Can you send me the project report?,not spam
I wanted to follow up on our previous conversation.,not spam
Let’s schedule a call for next week.,not spam
Earn money working from home without any skills.,spam
"Hey, are we still meeting for lunch?",not spam
Let’s schedule a call for next week.,not spam
Can you send me the project report?,not spam
Please review the attached document.,not spam
"Dear user, your account has been compromised, click here to fix it.",spam
"Dear user, your account has been compromised, click here to fix it.",spam
Earn money working from home without any skills.,spam
I wanted to follow up on our previous conversation.,not spam
Can you send me the project report?,not spam
Exclusive offer! Only for today!,spam
Can you send me the project report?,not spam
Exclusive offer! Only for today!,spam
"Congratulations, you have won a free iPhone!",spam
Win a $1000 gift card now!,spam
Can you send me the project report?,not spam
Can you send me the project report?,not spam
Win a $1000 gift card now!,spam
You’ve been selected for a free cruise trip!,spam
"Dear user, your account has been compromised, click here to fix it.",spam
Exclusive offer! Only for today!,spam
Get rich quick with this one simple trick!,spam
Exclusive offer! Only for today!,spam
"Hey, are we still meeting for lunch?",not spam
Here are the notes from our last meeting.,not spam
Please review the attached document.,not spam
"This is not a drill, claim your prize now!",spam
Let’s schedule a call for next week.,not spam
You’ve been selected for a free cruise trip!,spam
Hope you're doing well. Let's catch up soon.,not spam
I wanted to follow up on our previous conversation.,not spam
Get rich quick with this one simple trick!,spam
Win a $1000 gift card now!,spam
You’ve been selected for a free cruise trip!,spam
Earn money working from home without any skills.,spam
I wanted to follow up on our previous conversation.,not spam
Please review the attached document.,not spam
"Dear user, your account has been compromised, click here to fix it.",spam
Hope you're doing well. Let's catch up soon.,not spam
I wanted to follow up on our previous conversation.,not spam
Here are the notes from our last meeting.,not spam
Here are the notes from our last meeting.,not spam
I wanted to follow up on our previous conversation.,not spam
Hope you're doing well. Let's catch up soon.,not spam
"Congratulations, you have won a free iPhone!",spam
Here are the notes from our last meeting.,not spam
Win a $1000 gift card now!,spam
Get rich quick with this one simple trick!,spam
I wanted to follow up on our previous conversation.,not spam
